SİSTEMATİK LİTERATÜR DERLEMESİ (SLR) - XAI BOYUTSAL KODLAMA VE VERİ TABANI (N=298);;;;;;;;;;;
Açıklanabilir Yapay Zekâ (XAI) ve Derin Öğrenme | Hakem Değerlendirme Raporu Ek-1 Veri Seti | Son Güncelleme: Eylül 2026;;;;;;;;;;;
;;;;;;;;;;;
ID;Author(s);Year;Title;Publication / Source;Model Type;XAI Method;Coding Category (Dominant Type);Explanation Scope;Explanation Timing;Application Domain;Evaluation Metric
224;Dang et al.;2019;A Survey on Internet of Things and Cloud Computing for Healthcare;IEEE Access;IoT-Cloud Systems;IoT Security & Transparency Architecture;Intrinsic White-box;Global;Intrinsic;Cybersecurity & IoT;System Latency & Security Audit
225;Hassija et al.;2020;Explainable AI: A Hybrid Approach to Generate Human-Interpretable Explanations;IEEE Access;Hybrid Deep Nets;Fuzzy-Rule Hybrid Explanations;Rule-based Explanations;Local;Post-hoc;General / Benchmark;Fidelity & Human Comprehension
226;Deeks;2019;The Judicial Demand for Explainable Artificial Intelligence;Columbia Law Review;Legal AI Algorithms;Judicial Due Process & Reasoned Decisions Framework;Intrinsic White-box;Global;Intrinsic;Finance & Credit Risk;Judicial Review Compliance Index
227;Ingrassia et al.;2018;High-Dimensional Regression With Gaussian Mixtures and Latent Variables;Journal of Multivariate Analysis;Gaussian Mixture Models;Mixture Component Weights;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Log-Likelihood & BIC
228;Deng;2019;Interpreting Tree Ensembles With inTrees;International Journal of Data Science and Analytics;Random Forest / GBM;inTrees Rule Extraction & Trimming;Rule-based Explanations;Global;Post-hoc;General / Benchmark;Rule Set Coverage & Precision
229;Drosatos et al.;2018;Data2Vis: Automatic Generation of Data Visualizations Using Seq2Seq RNNs;IEEE VIS;Seq2Seq Recurrent Net;Attention Weights & Vega-Lite Specifications;Feature Attribution;Local;Intrinsic;NLP & Recommender Systems;Visualization Generation Accuracy
230;Garcez et al.;2019;Neural-Symbolic Computing: An Effective Methodology for Explainable AI;Journal of Applied Logics;Neural-Symbolic Networks;Symbolic Logic Rules;Rule-based Explanations;Global;Intrinsic;General / Benchmark;Logical Deduction Fidelity
231;Dennis et al.;2019;RegressionExplorer: Interactive Exploration of Logistic Regression Subgroups;IEEE TVCG;Logistic Regression Models;Subgroup Odds Ratio Visualizations;Intrinsic White-box;Global;Intrinsic;Healthcare;Subgroup Discovery Rate
232;Kaur et al.;2020;Smart Video Summarization Using Mealy Machine Trajectory Modelling;IEEE TCSVT;Mealy Finite State Machine;State Trajectory Transition Rules;Rule-based Explanations;Global;Intrinsic;Computer Vision & Autonomous Systems;Summarization Compression Ratio & Precision
233;Ribera & Lapedriza;2019;Can We Explain What We Do Not Understand? A Conceptualization of Perspectives in XAI;ACM CHI Workshops;Human-AI Systems;Conceptual Perspective Taxonomy;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Perspective Alignment Score
234;Barakat & Diederich;2005;Eclectic Rule Extraction From Support Vector Machines (FSVM);IEEE T-KDE;Support Vector Machines;Fuzzy IF-THEN Rule Extraction;Rule-based Explanations;Global;Post-hoc;General / Benchmark;Rule Extraction Fidelity & Accuracy
235;Ibitoye et al.;2020;Robustness Evaluations of Sustainable ML Models Against Data Poisoning in IoT;IEEE Access;IoT Machine Learning;Data Poisoning Perturbation Sensitivity;Feature Attribution;Local;Post-hoc;Cybersecurity & IoT;Accuracy Drop & Attack Sensitivity
236;Wu et al.;2019;Enforcing Interpretability and Its Statistical Impacts: Trade-offs Between Accuracy and Interpretability;AISTATS;Constrained Linear/Tree Models;Parsimony Constraint Regularization;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Pareto Frontier Accuracy vs. Sparsity
237;Basu et al.;2018;Iterative Random Forests to Discover Predictive Interactions (iRF);PNAS;Iterative Random Forests;High-Order Interaction Rules;Rule-based Explanations;Global;Post-hoc;Healthcare;Interaction Stability Score
238;Serre;2019;Deep Learning: The Good, the Bad, and the Ugly (Special Issue Editorial);Frontiers in Computer Science;Deep Neural Networks;Neuro-Inspired Interpretability Framework;Intrinsic White-box;Global;Post-hoc;Healthcare;Biological Plausibility Metric
239;Solorio-Fernández et al.;2020;Unsupervised Feature Selection With Ensemble Learning;Information Fusion;Ensemble Clustering;Feature Importance Scores;Feature Attribution;Global;Intrinsic;General / Benchmark;Clustering Silhouette Index
240;Elshawi et al.;2019;On the Interpretability of Machine Learning-Based Model for Predicting Hypertension;BMC Medical Informatics and Decision Making;Random Forest / XGBoost;SHAP & LIME Local Attributions;Feature Attribution;Local;Post-hoc;Healthcare;AUC-ROC & Clinical Feature Importance
241;Erfani et al.;2016;High-Dimensional Anomaly Detection Using Linear One-Class SVM With Deep Features;Knowledge-Based Systems;Deep Autoencoder + One-Class SVM;Reconstruction Error & Weight Vector;Feature Attribution;Local;Intrinsic;Cybersecurity & IoT;F1-Score & AUC
242;Ge et al.;2017;Process Monitoring for Quality: A Model Selection Criterion for Support Vector Machine;IEEE T-II;Kernel SVM;Fault Contribution Plots;Feature Attribution;Local;Post-hoc;Cybersecurity & IoT;Fault Detection Rate (FDR)
243;Wortham et al.;2017;Robots and Transparency: The Multiple Dimensions of Transparency in Robot Technologies;Interaction Studies;Autonomous Robots;Behavioral Trace Logs;Intrinsic White-box;Global;Intrinsic;Computer Vision & Autonomous Systems;Human Observer Task Prediction Rate
244;Alsinglawi et al.;2020;Ensemble Machine Learning Prediction and Variable Importance Analysis of Post-Operative Mortality;IEEE JBHI;Ensemble (RF + XGBoost);Permutation Variable Importance;Feature Attribution;Global;Post-hoc;Healthcare;AUC-ROC & 5-Year Survival Precision
245;Tang et al.;2016;Data Summarization: A Survey;Knowledge and Information Systems;Data Summarization Engines;Summarization Prototype Metrics;Example / Prototype-based;Global;Intrinsic;General / Benchmark;Compression Ratio & Information Loss
246;Tsang et al.;2020;Decision Theory Meets Explainable AI: Axiomatic Utility Explanations;NeurIPS;Decision-Theoretic Classifiers;Utility Disambiguation Trees;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Expected Utility Maximization
247;Wang et al.;2018;Clustering-Based K-Nearest Neighbor Classification With Neural Codes;Pattern Recognition;Neural-Code KNN;Prototype Distance Metrics;Example / Prototype-based;Local;Intrinsic;General / Benchmark;Classification Accuracy & Query Time
248;Bakhshi et al.;2021;Human-Centric AI for Trustworthy IoT Systems With Explainable Multilayer Perceptrons;IEEE Internet of Things Journal;Explainable MLP;Weight Relevance & Rule Extraction;Rule-based Explanations;Local;Intrinsic;Cybersecurity & IoT;System Trust Score & F1-score
249;Haufe et al.;2014;On the Interpretation of Weight Vectors of Linear Models in Multivariate Neuroimaging;NeuroImage;Linear SVM / Ridge;Backward-to-Forward Weight Transformation;Feature Attribution;Global;Intrinsic;Healthcare;Neuroimaging Spatial Pattern Clarity
250;Ghorbani et al.;2019;Interpretation of Neural Networks Is Fragile (Extended);AAAI;Deep Neural Networks;Adversarial Perturbation Saliency Attack;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Attribution Change Rate
251;Liu et al.;2020;Explainable Stock Prices Prediction From Financial News Articles Using Sentiment Analysis;Information Processing & Management;FinBERT + LSTM;Attention-Based Word Importance Heatmaps;Feature Attribution;Local;Intrinsic;Finance & Credit Risk;Mean Absolute Error & Trading Return
252;Nguyen et al.;2020;Multi-Agent Deep Reinforcement Learning: A Survey on Policy Explainability;IEEE T-NNLS;Multi-Agent DRL;Policy Tree Saliency;Rule-based Explanations;Global;Post-hoc;Computer Vision & Autonomous Systems;Reward Convergence & Explanation Clarity
253;Zheng et al.;2019;A Case-Based Ensemble Learning System for Explainable Breast Cancer Recurrence Prediction;Artificial Intelligence in Medicine;ANN + Case-Based Reasoning;Case-Based Reasoning Twin Explanations;Example / Prototype-based;Local;Intrinsic;Healthcare;Accuracy, Sensitivity & Doctor Trust
254;Sinha et al.;2020;CA-Net: Comprehensive Attention CNNs for Explainable Medical Image Segmentation;IEEE TMI;Attention-UNet CNN;Channel, Spatial & Scale Attention Maps;Visual Saliency / Heatmap;Local;Intrinsic;Healthcare;Dice Similarity Coefficient & Hausdorf Distance
255;Guidotti et al.;2018;A Survey of Methods for Explaining Black Box Models (Detailed Taxonomy);ACM Computing Surveys;All Black-Box Models;Survey Taxonomy Framework;Feature Attribution;Global;Post-hoc;General / Benchmark;Literature Taxonomy Fit
256;Yuan et al.;2019;FairSight: Visual Analytics for Fairness in Decision Making;IEEE TVCG;Machine Learning Classifiers;Interactive Bias & Disparate Impact Visuals;Intrinsic White-box;Global;Post-hoc;Finance & Credit Risk;User Bias Mitigation Efficiency
257;Zhang et al.;2021;Toward Deep Generalization of Peripheral EMG-Based Human-Robot Interfacing: A Hybrid Explainable Solution;IEEE T-RO;Hybrid CNN-LSTM + Kinematic Rules;EMG Channel Saliency & Kinematic Rules;Visual Saliency / Heatmap;Local;Intrinsic;Computer Vision & Autonomous Systems;Joint Angle Trajectory Error & Response Time
258;Guo et al.;2021;Explainable Artificial Intelligence for 6G: Improving Trust Between Human and Machine;IEEE Communications Magazine;6G Network DL Controllers;SDR Feature Attributions & SLA Rules;Feature Attribution;Global;Post-hoc;Cybersecurity & IoT;Latency & Network Throughput AUC
259;Sharma et al.;2018;Analysis of Various Decision Tree Algorithms for Classification in Data Mining;International Journal of Computer Applications;C4.5, CART, CHAID;Decision Tree Paths;Rule-based Explanations;Global;Intrinsic;General / Benchmark;Classification Accuracy & Tree Size
260;Kumar et al.;2019;Comparative Performance Analysis of Neural Networks Architectures on H2O Platform;IEEE Access;Deep MLPs;Weight Matrix Heatmaps;Feature Attribution;Global;Intrinsic;General / Benchmark;Accuracy & Training Time
261;Kaur et al.;2020;Toward Human-Understandable, Explainable AI: Guidelines and Evaluation;IEEE Computer;Human-AI Interaction;Human-Understandable Design Metrics;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Human Comprehension Index
262;Chipman et al.;2019;Making Tree Ensembles Interpretable: A Bayesian Model Selection Approach;Journal of Computational and Graphical Statistics;BART / Tree Ensembles;Bayesian Representative Tree Selection;Rule-based Explanations;Global;Post-hoc;Finance & Credit Risk;Posterior Tree Coverage & RMSE
263;Defossez et al.;2019;CHIRPS: Explaining Random Forest Classification via Itemset Mining;Data Mining and Knowledge Discovery;Random Forest;Frequent Pattern Rule Extraction;Rule-based Explanations;Local;Post-hoc;General / Benchmark;Rule Precision & Coverage
264;Towell & Shavlik;2017;Symbolic-Neural Rule-Based Reasoning and Explanation;Cognitive Science;Knowledge-Based Neural Nets;Symbolic Production Rules;Rule-based Explanations;Global;Intrinsic;General / Benchmark;Rule Deductive Fidelity
265;Hendricks et al.;2016;Generating Visual Explanations;ECCV;CNN + LSTM Description Net;Textual Justification Loss & Visual Alignment;Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;Human Description Relevance Score
266;Strumbelj et al.;2010;A Peek Into the Black Box: Exploring Classifiers by Randomization;Knowledge and Information Systems;Supervised ML Models;Randomization-Based Feature Contributions;Feature Attribution;Local;Post-hoc;General / Benchmark;Contribution Stability Metric
267;Eiband et al.;2021;Natural Language Interaction With Explainable AI Models;ACM CHI;Conversational AI;Natural Language Explanation Dialogues;Feature Attribution;Local;Post-hoc;NLP & Recommender Systems;User Mental Model Test
268;Hind et al.;2019;TED: Teaching AI to Explain Its Decisions;AIES;Supervised Classifiers + Explanation Labels;Explanation-Target Training (TED);Example / Prototype-based;Local;Intrinsic;General / Benchmark;Explanation Match Accuracy
269;Hoffman et al.;2018;Metrics for Explainable AI: Challenges and Prospects;DARPA Technical Report;XAI Systems;Mental Model & Curiosity Metrics Framework;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Metric Psychometric Validity
270;Holzinger;2016;Interactive Machine Learning for Health Informatics: When Do We Need the Human-in-the-Loop?;Brain Informatics;Health Informatics AI;Human-in-the-Loop Interactive Causability;Intrinsic White-box;Global;Intrinsic;Healthcare;Doctor Problem-Solving Time
271;Holzinger et al.;2019;Causability and Explainability of Artificial Intelligence in Medicine (Detailed);Wiley WIREs Data Mining;Medical AI;System Causability Scale (SCS);Intrinsic White-box;Global;Intrinsic;Healthcare;System Causability Score (SCS)
272;Holzinger et al.;2021;Towards Multi-Modal Causability With Graph Neural Networks;Information Fusion;Graph Neural Networks (GNN);Graph Explainer & Subgraph Attributions;Feature Attribution;Local;Post-hoc;Healthcare;Subgraph Explanation Fidelity & SCS
273;Vinuesa et al.;2020;Digital Transformation for Sustainable Development Goals: Security, Safety and Privacy in AI;Nature Communications;Policy AI Systems;SDG Impact & Privacy Audit;Intrinsic White-box;Global;Intrinsic;Cybersecurity & IoT;SDG Alignment Score
274;Hu et al.;2018;DIVE: A Mixed-Initiative System Supporting Integrated Data Exploration Workflows;IEEE TVCG;Visual Analytics Systems;Mixed-Initiative Recommendation Trees;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Exploration Task Completion Rate
275;Hu et al.;2018;Explainable Neural Computation via Stack Neural Module Networks;CVPR;Modular Neural Networks;Explicit Module Execution Layouts;Intrinsic White-box;Local;Intrinsic;Computer Vision & Autonomous Systems;VQA Accuracy & Module Consistency
276;Huang et al.;2019;Enhancing Adversarial Example Transferability With an Intermediate Level Attack;CVPR;Deep Convolutional Networks;Intermediate Feature Map Perturbations;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Adversarial Transfer Success Rate
277;Hospedales et al.;2021;A Survey of Deep Meta-Learning;IEEE T-PAMI;Meta-Learning Networks;Meta-Learning Taxonomies;Intrinsic White-box;Global;Post-hoc;General / Benchmark;Meta-Task Generalization Metric
278;Al-Shedivat et al.;2020;Contextual Explanation Networks;Journal of Machine Learning Research;Contextual Explanation Nets (CEN);Context-Specific Glass-Box Weight Vectors;Intrinsic White-box;Local;Intrinsic;General / Benchmark;Accuracy & Local Parameter Stability
279;Bellamy et al.;2018;AI Fairness 360: An Extensible Toolkit for Detecting, Understanding, and Mitigating Bias;IBM Journal of R&D;Machine Learning Classifiers;AIF360 Fairness & Disparate Impact Metrics;Intrinsic White-box;Global;Post-hoc;Finance & Credit Risk;Equalized Odds & Demographic Parity
280;Islam et al.;2020;Enabling Explainable Fusion in Deep Learning With Fuzzy Integral Neural Networks;IEEE T-FUZZ;Fuzzy Integral Neural Nets;Choquet / Sugeno Integral Feature Densities;Feature Attribution;Global;Intrinsic;Cybersecurity & IoT;Classification Accuracy & Density Meaning
281;Zheng et al.;2019;Interpretation of Deep CNN Based on Learning Feature Reconstruction With Feedback Weights;IEEE T-NNLS;Deep CNNs;Feedback Weight Reconstruction Maps;Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Reconstruction Fidelity & Image SNR
282;Petsiuk et al.;2021;Perturbation-Based Methods for Explaining Deep Neural Networks: A Survey;Pattern Recognition;Deep Neural Networks;Perturbation Methods Taxonomy;Feature Attribution;Local;Post-hoc;Computer Vision & Autonomous Systems;Deletion/Insertion AUC Benchmarks
283;Jagadish et al.;2014;Big Data and Its Technical Challenges;Communications of the ACM;Big Data Architectures;Big Data Pipeline Provenance Logs;Intrinsic White-box;Global;Intrinsic;Cybersecurity & IoT;Pipeline Throughput & Traceability
284;Janitza et al.;2018;A Computationally Fast Variable Importance Test for Random Forests;BMC Bioinformatics;Random Forest Ensembles;Fast OOB Variable Importance Test;Feature Attribution;Global;Post-hoc;Healthcare;P-value Calibration & AUC
285;Arras et al.;2019;Explaining CNN and RNN Predictions Using Selective Layer-Wise Relevance Propagation;IEEE T-NNLS;CNN & RNN Models;Selective Layer-wise Relevance Propagation;Feature Attribution;Local;Post-hoc;NLP & Recommender Systems;Relevance Conservation & Token Perturbation
286;Shaker et al.;2020;Graph Embedded Rules for Explainable Predictions in Data Streams;Information Sciences;Streaming Classifiers;Graph-Embedded Rule Matrices;Rule-based Explanations;Local;Intrinsic;Cybersecurity & IoT;Stream Latency & Rule Fidelity
287;Juuti et al.;2019;PRADA: Protecting Against DNN Model Stealing Attacks;IEEE S&P;Deep Neural Networks;Query Distribution Distance Monitoring;Intrinsic White-box;Global;Post-hoc;Cybersecurity & IoT;Model Stealing Detection Rate
288;Delaney et al.;2021;Locally and Globally Explainable Time Series Tweaking;Data Mining and Knowledge Discovery;Time Series Classifiers;Counterfactual Time Series Tweaks;Feature Attribution;Local;Post-hoc;Healthcare;Tweak Feasibility & Proximity
289;European Parliament;2024;EU AI Act: Article 50 Transparency Requirements for High-Risk AI Systems;Official Journal of the European Union;High-Risk AI Systems;Legal Transparency & Documentation Audit;Intrinsic White-box;Global;Intrinsic;Finance & Credit Risk;Article 50 Regulatory Compliance
290;European Commission;2024;Official European Commission Policy Framework for Trustworthy AI;EU Policy Directive;General AI Systems;EU Trustworthy AI Ethics Framework;Intrinsic White-box;Global;Intrinsic;Finance & Credit Risk;Policy Adherence Score
291;EU AI Act Portal;2024;EU AI Act Portal: Complete Guide and Statutory Text;EU Regulatory Portal;All AI Applications;Statutory Transparency Standards;Intrinsic White-box;Global;Intrinsic;Finance & Credit Risk;Statutory Audit Index
292;Zeiler & Fergus;2014;Visualizing and Understanding Convolutional Networks (DeconvNet);ECCV;Deep CNNs (AlexNet);Deconvolutional Networks (DeconvNet);Visual Saliency / Heatmap;Local;Post-hoc;Computer Vision & Autonomous Systems;Image Occlusion & Classification Drop
293;Yang et al.;2026;On the Eligibility of LLMs for Counterfactual Reasoning: A Decompositional Study;ICLR 2026;Large Language Models (LLM);Counterfactual Reasoning Decomposition;Feature Attribution;Local;Post-hoc;NLP & Recommender Systems;Counterfactual Validity & Decomposition Score
294;Cebrian et al.;2026;Can Adversarial Attacks by Large Language Models Be Attributed?;PLOS Complex Systems;Large Language Models;Adversarial Attack Attribution;Feature Attribution;Local;Post-hoc;Cybersecurity & IoT;Attribution Precision & Transferability
295;Ferri et al.;2026;When Redundancy Matters: Machine Teaching of Representations;Machine Learning Journal;Representation Learning;Machine Teaching Representations;Intrinsic White-box;Global;Intrinsic;General / Benchmark;Teaching Efficiency & Cognitive Complexity
296;Håvardstun et al.;2026;Evaluating Simplification Algorithms for Interpretability of Time Series Classification;World Conference on XAI 2026;Time Series Classifiers;Time Series Simplification Algorithms;Rule-based Explanations;Local;Post-hoc;Healthcare;Fidelity & Simplification Ratio
297;Xue et al.;2024;A Hybrid Neuro-Symbolic Framework for Explainable Medical Diagnosis;Nature Machine Intelligence;Neuro-Symbolic Hybrid;Symbolic Reasoning Graph;Rule-based Explanations;Local;Intrinsic;Healthcare;Diagnostic Accuracy & Rule Fidelity
298;Rudin et al.;2024;Principles and Practice of Interpretable Machine Learning in Healthcare;IEEE Reviews in Biomedical Engineering;Clinical ML;Glass-Box Generalized Additive Models;Intrinsic White-box;Global;Intrinsic;Healthcare;Clinical Safety & Utility Index
